uid,formula,n_c,sets,grid,rung
483,C9H7N,9,300K+50K+600K,300-3799/3500,
485,C9H7N,9,300K+50K+600K,300-3799/3500,
493,C9H7,9,300K+50K+600K,300-3799/3500,
495,C9H8,9,300K+50K+600K,300-3799/3500,
330,C10H8,10,300K+50K+600K+EXP,300-3799/3500,R1
332,C10H12,10,300K+50K+600K,300-3799/3500,
375,C10H9,10,300K+50K+600K,300-3799/3500,
376,C10H9,10,300K+50K+600K,300-3799/3500,
473,C10H9N,10,300K+50K+600K,300-3799/3500,
475,C10H9N,10,300K+50K+600K,300-3799/3500,
509,C10H7,10,300K+50K+600K,300-3799/3500,
511,C10H7,10,300K+50K+600K,300-3799/3500,
527,C10H8N,10,300K+50K+600K,300-3799/3500,
320,C11H10,11,300K+50K+600K,300-3799/3500,
322,C11H10,11,300K+50K+600K,300-3799/3500,
463,C11H7N,11,300K+50K+600K,300-3799/3500,
465,C11H7N,11,300K+50K+600K,300-3799/3500,
519,C11H9,11,300K+50K+600K,300-3799/3500,
521,C11H9,11,300K+50K+600K,300-3799/3500,
525,C11H8,11,300K+50K+600K,300-3799/3500,
202,C12H10,12,300K+50K+600K,300-3799/3500,
267,C12H8N2,12,300K+50K+600K+EXP,300-3799/3500,
385,C12H8,12,300K+50K+600K,300-3799/3500,
274,C13H9N,13,300K+50K+600K+EXP,300-3799/3500,
276,C13H9N,13,300K+50K+600K,300-3799/3500,
487,C13H9N,13,300K+50K+600K+EXP,300-3799/3500,
489,C13H9N,13,300K+50K+600K,300-3799/3500,
491,C13H9N,13,300K+50K+600K,300-3799/3500,
53,C13H9,13,300K+50K+600K,300-3799/3500,
54,C13H10,13,300K+50K+600K,300-3799/3500,
55,C13H10,13,300K+50K+600K,300-3799/3500,
265,C14H10,14,300K+50K+600K+EXP,300-3799/3500,
273,C14H10,14,300K+50K+600K+EXP,300-3799/3500,
338,C14H12,14,300K+50K+600K,300-3799/3500,
340,C14H12,14,300K+50K+600K,300-3799/3500,
477,C14H11N,14,300K+50K+600K,300-3799/3500,
479,C14H11N,14,300K+50K+600K,300-3799/3500,
481,C14H11N,14,300K+50K+600K,300-3799/3500,
513,C14H9,14,300K+50K+600K,300-3799/3500,
515,C14H9,14,300K+50K+600K,300-3799/3500,
517,C14H9,14,300K+50K+600K,300-3799/3500,
271,C15H9N,15,300K+50K+600K+EXP,300-3799/3500,
324,C15H12,15,300K+50K+600K,300-3799/3500,
326,C15H12,15,300K+50K+600K,300-3799/3500,
328,C15H12,15,300K+50K+600K,300-3799/3500,
341,C15H10,15,300K+50K+600K,300-3799/3500,
467,C15H9N,15,300K+50K+600K,300-3799/3500,
469,C15H9N,15,300K+50K+600K,300-3799/3500,
471,C15H9N,15,300K+50K+600K,300-3799/3500,
299,C16H10N2,16,300K+50K+600K,300-3799/3500,
334,C16H10,16,300K+50K+600K+EXP,300-3799/3500,R2
335,C16H12,16,300K+50K+600K,300-3799/3500,
337,C16H12,16,300K+50K+600K,300-3799/3500,
387,C16H10,16,300K+50K+600K+EXP,300-3799/3500,R2
2357,C17H11,17,300K+50K+600K,300-3799/3500,
285,C17H11N,17,300K+50K+600K+EXP,300-3799/3500,
287,C17H11N,17,300K+50K+600K+EXP,300-3799/3500,
289,C17H11N,17,300K+50K+600K,300-3799/3500,
293,C17H11N,17,300K+50K+600K+EXP,300-3799/3500,
295,C17H11N,17,300K+50K+600K+EXP,300-3799/3500,
297,C17H11N,17,300K+50K+600K,300-3799/3500,
342,C17H14,17,300K+50K+600K,300-3799/3500,
830,C17H11N,17,300K+50K+600K+EXP,300-3799/3500,
831,C17H11N,17,300K+50K+600K+EXP,300-3799/3500,
211,C18H12,18,300K+50K+600K,300-3799/3500,R2
2355,C18H12,18,300K+50K+600K,300-3799/3500,R2
2356,C18H12,18,300K+50K+600K,300-3799/3500,R2
280,C18H12,18,300K+50K+600K+EXP,300-3799/3500,R2
282,C18H12,18,300K+50K+600K+EXP,300-3799/3500,R2
291,C18H12,18,300K+50K+600K+EXP,300-3799/3500,R2
4015,C18H12,18,300K+50K+600K,300-3799/3500,R2
348,C19H12,19,300K+50K+600K,300-3799/3500,
349,C19H14,19,300K+50K+600K,300-3799/3500,
57,C19H11,19,300K+50K+600K,300-3799/3500,
58,C19H12,19,300K+50K+600K,300-3799/3500,
59,C19H12,19,300K+50K+600K,300-3799/3500,
60,C19H12,19,300K+50K+600K,300-3799/3500,
61,C19H12,19,300K+50K+600K,300-3799/3500,
62,C19H12,19,300K+50K+600K,300-3799/3500,
63,C19H12,19,300K+50K+600K,300-3799/3500,
159,C20H10,20,300K+50K+600K,300-3799/3500,
343,C20H12,20,300K+50K+600K+EXP,300-3799/3500,
344,C20H14,20,300K+50K+600K,300-3799/3500,
345,C20H12,20,300K+50K+600K,300-3799/3500,
346,C20H14,20,300K+50K+600K,300-3799/3500,
389,C20H12,20,300K+50K+600K+EXP,300-3799/3500,
391,C20H12,20,300K+50K+600K+EXP,300-3799/3500,
393,C20H12,20,300K+50K+600K+EXP,300-3799/3500,
395,C20H12,20,300K+50K+600K+EXP,300-3799/3500,
829,C20H12,20,300K+50K+600K,300-3799/3500,
2349,C21H13,21,300K+50K+600K,300-3799/3500,
2350,C21H13,21,300K+50K+600K,300-3799/3500,
2351,C21H13,21,300K+50K+600K,300-3799/3500,
2352,C21H13,21,300K+50K+600K,300-3799/3500,
2353,C21H13,21,300K+50K+600K,300-3799/3500,
2354,C21H13,21,300K+50K+600K,300-3799/3500,
303,C21H13N,21,300K+50K+600K+EXP,300-3799/3500,
309,C21H13N,21,300K+50K+600K+EXP,300-3799/3500,
311,C21H13N,21,300K+50K+600K+EXP,300-3799/3500,
833,C21H13N,21,300K+50K+600K+EXP,300-3799/3500,
2340,C22H14,22,300K+50K+600K,300-3799/3500,
2341,C22H14,22,300K+50K+600K,300-3799/3500,
2342,C22H14,22,300K+50K+600K,300-3799/3500,
2343,C22H14,22,300K+50K+600K,300-3799/3500,
2345,C22H14,22,300K+50K+600K,300-3799/3500,
2346,C22H14,22,300K+50K+600K,300-3799/3500,
2347,C22H12,22,300K+50K+600K,300-3799/3500,
2348,C22H12,22,300K+50K+600K,300-3799/3500,
284,C22H12,22,300K+50K+600K+EXP,300-3799/3500,
301,C22H14,22,300K+50K+600K,300-3799/3500,
305,C22H14,22,300K+50K+600K+EXP,300-3799/3500,
307,C22H14,22,300K+50K+600K+EXP,300-3799/3500,
356,C22H16,22,300K+50K+600K,300-3799/3500,
832,C22H14,22,300K+50K+600K,300-3799/3500,
223,C23H11N,23,300K+50K+600K,300-3799/3500,
226,C23H12N,23,300K+50K+600K,300-3799/3500,
227,C23H13N,23,300K+50K+600K,300-3799/3500,
229,C23H12N,23,300K+50K+600K,300-3799/3500,
230,C23H13N,23,300K+50K+600K,300-3799/3500,
231,C23H13N,23,300K+50K+600K,300-3799/3500,
232,C23H13N,23,300K+50K+600K,300-3799/3500,
2336,C23H13,23,300K+50K+600K,300-3799/3500,
2337,C23H13,23,300K+50K+600K,300-3799/3500,
2338,C23H13,23,300K+50K+600K,300-3799/3500,
2339,C23H13,23,300K+50K+600K,300-3799/3500,
18,C24H12,24,300K+50K+600K+EXP,300-3799/3500,R3
204,C24H14,24,300K+50K+600K,300-3799/3500,
206,C24H14,24,300K+50K+600K,300-3799/3500,
208,C24H14,24,300K+50K+600K,300-3799/3500,
2326,C24H14,24,300K+50K+600K,300-3799/3500,
2327,C24H14,24,300K+50K+600K,300-3799/3500,
2328,C24H14,24,300K+50K+600K,300-3799/3500,
2329,C24H14,24,300K+50K+600K,300-3799/3500,
2330,C24H14,24,300K+50K+600K,300-3799/3500,
2331,C24H14,24,300K+50K+600K,300-3799/3500,
2332,C24H14,24,300K+50K+600K,300-3799/3500,
2333,C24H14,24,300K+50K+600K,300-3799/3500,
2334,C24H14,24,300K+50K+600K,300-3799/3500,
2335,C24H14,24,300K+50K+600K,300-3799/3500,
357,C24H24,24,300K+50K+600K,300-3799/3500,
378,C24H16,24,300K+50K+600K,300-3799/3500,
379,C24H16,24,300K+50K+600K,300-3799/3500,
380,C24H16,24,300K+50K+600K,300-3799/3500,
381,C24H16,24,300K+50K+600K,300-3799/3500,
4003,C24H14,24,300K+50K+600K,300-3799/3500,
538,C24H14,24,300K+50K+600K+EXP,300-3799/3500,
2301,C25H15,25,300K+50K+600K,300-3799/3500,
2302,C25H15,25,300K+50K+600K,300-3799/3500,
2304,C25H15,25,300K+50K+600K,300-3799/3500,
2305,C25H15,25,300K+50K+600K,300-3799/3500,
2306,C25H15,25,300K+50K+600K,300-3799/3500,
2307,C25H15,25,300K+50K+600K,300-3799/3500,
2308,C25H15,25,300K+50K+600K,300-3799/3500,
2309,C25H15,25,300K+50K+600K,300-3799/3500,
2310,C25H15,25,300K+50K+600K,300-3799/3500,
2311,C25H15,25,300K+50K+600K,300-3799/3500,
2312,C25H15,25,300K+50K+600K,300-3799/3500,
2313,C25H15,25,300K+50K+600K,300-3799/3500,
2315,C25H15,25,300K+50K+600K,300-3799/3500,
2317,C25H15,25,300K+50K+600K,300-3799/3500,
2318,C25H15,25,300K+50K+600K,300-3799/3500,
2319,C25H15,25,300K+50K+600K,300-3799/3500,
2320,C25H15,25,300K+50K+600K,300-3799/3500,
2321,C25H15,25,300K+50K+600K,300-3799/3500,
2322,C25H15,25,300K+50K+600K,300-3799/3500,
2323,C25H13,25,300K+50K+600K,300-3799/3500,
2325,C25H13,25,300K+50K+600K,300-3799/3500,
314,C25H14,25,300K+50K+600K,300-3799/3500,
2260,C26H16,26,300K+50K+600K,300-3799/3500,
2261,C26H16,26,300K+50K+600K,300-3799/3500,
2262,C26H16,26,300K+50K+600K,300-3799/3500,
2263,C26H16,26,300K+50K+600K,300-3799/3500,
2269,C26H16,26,300K+50K+600K,300-3799/3500,
2270,C26H16,26,300K+50K+600K,300-3799/3500,
2271,C26H16,26,300K+50K+600K,300-3799/3500,
2272,C26H16,26,300K+50K+600K,300-3799/3500,
2273,C26H16,26,300K+50K+600K,300-3799/3500,
2274,C26H16,26,300K+50K+600K,300-3799/3500,
2275,C26H16,26,300K+50K+600K,300-3799/3500,
2276,C26H16,26,300K+50K+600K,300-3799/3500,
2277,C26H16,26,300K+50K+600K,300-3799/3500,
2278,C26H16,26,300K+50K+600K,300-3799/3500,
2279,C26H16,26,300K+50K+600K,300-3799/3500,
2280,C26H16,26,300K+50K+600K,300-3799/3500,
2281,C26H16,26,300K+50K+600K,300-3799/3500,
2282,C26H16,26,300K+50K+600K,300-3799/3500,
2283,C26H16,26,300K+50K+600K,300-3799/3500,
2284,C26H16,26,300K+50K+600K,300-3799/3500,
2285,C26H16,26,300K+50K+600K,300-3799/3500,
2286,C26H16,26,300K+50K+600K,300-3799/3500,
2287,C26H16,26,300K+50K+600K,300-3799/3500,
2288,C26H16,26,300K+50K+600K,300-3799/3500,
2289,C26H16,26,300K+50K+600K,300-3799/3500,
2290,C26H16,26,300K+50K+600K,300-3799/3500,
2291,C26H14,26,300K+50K+600K,300-3799/3500,
2292,C26H14,26,300K+50K+600K,300-3799/3500,
2293,C26H14,26,300K+50K+600K,300-3799/3500,
2294,C26H14,26,300K+50K+600K,300-3799/3500,
2295,C26H14,26,300K+50K+600K,300-3799/3500,
2296,C26H14,26,300K+50K+600K,300-3799/3500,
2297,C26H14,26,300K+50K+600K,300-3799/3500,
2298,C26H14,26,300K+50K+600K,300-3799/3500,
2299,C26H14,26,300K+50K+600K,300-3799/3500,
814,C26H16,26,300K+50K+600K,300-3799/3500,
2235,C27H15,27,300K+50K+600K,300-3799/3500,
2236,C27H15,27,300K+50K+600K,300-3799/3500,
2237,C27H15,27,300K+50K+600K,300-3799/3500,
2238,C27H15,27,300K+50K+600K,300-3799/3500,
2240,C27H15,27,300K+50K+600K,300-3799/3500,
2241,C27H15,27,300K+50K+600K,300-3799/3500,
2242,C27H15,27,300K+50K+600K,300-3799/3500,
2244,C27H15,27,300K+50K+600K,300-3799/3500,
2245,C27H15,27,300K+50K+600K,300-3799/3500,
2246,C27H15,27,300K+50K+600K,300-3799/3500,
2247,C27H15,27,300K+50K+600K,300-3799/3500,
2248,C27H15,27,300K+50K+600K,300-3799/3500,
2249,C27H15,27,300K+50K+600K,300-3799/3500,
2250,C27H15,27,300K+50K+600K,300-3799/3500,
2251,C27H15,27,300K+50K+600K,300-3799/3500,
2252,C27H15,27,300K+50K+600K,300-3799/3500,
2253,C27H15,27,300K+50K+600K,300-3799/3500,
2254,C27H15,27,300K+50K+600K,300-3799/3500,
2255,C27H15,27,300K+50K+600K,300-3799/3500,
2256,C27H15,27,300K+50K+600K,300-3799/3500,
2257,C27H15,27,300K+50K+600K,300-3799/3500,
2258,C27H15,27,300K+50K+600K,300-3799/3500,
